null, 'PD Semi','NULL','NULL','NULL','13:00-14:00','NAC(Core 1)','Alfaaz','2','Debate Competition '
null, 'PD Finals','NULL','NULL','NULL','15:00-16:30','NAC(Core 1)','Alfaaz','2','Debate Competition '
null, 'Street','NULL','NULL','16:00-18:00','16:00-18:00','Off Stage','','6','No description'
null, 'Step Up','NULL','NULL','NULL','10:00-14:30','Gaming Arena','Dance','12','Street Dance'
null, 'Roadies Challenge Round','NULL','NULL','NULL','14:30-15:30','Gaming Arena','ClsApart','12','Mini Roadies'
null, 'Jogo Bonito','NULL','NULL','NULL','16:00-16:30','CrossFade Arena','','9','No description'
null, 'Rocko Finals','NULL','NULL','NULL','14:00-15:30','Rocko Stage','ClsApart','11','The Rock Band Contest'
null, 'MAB','NULL','NULL','NULL','19:30-22:00','Rocko Stage','Juggernaut','11','Pro Nite'
null, 'Quiz Fest','NULL','NULL','NULL','09:00-11:30','Lecture Hall 2','','14','Quiz'
null, 'Prize Distribution','NULL','NULL','NULL','18:30-19:30','Lecture Hall 1','','13',''
